Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
10.0.2.15,216.58.209.78,38074,443,TCP,0.058
10.0.2.15,216.58.209.78,38074,443,TCP,0.148
216.58.209.78,10.0.2.15,443,38074,TCP,0.583
216.58.209.78,10.0.2.15,443,38074,TCP,1.948
216.58.209.78,10.0.2.15,443,38074,TCP,0.487
10.0.2.15,216.58.209.78,38074,443,TCP,0.019
10.0.2.15,216.58.209.78,38074,443,TCP,1.267
10.0.2.15,74.125.4.8,59754,443,UDP,0.938
10.0.2.15,172.217.168.182,60815,443,UDP,2244.746
216.58.209.78,10.0.2.15,443,38074,TCP,411.175
10.0.2.15,216.58.209.78,38074,443,TCP,0.279
10.0.2.15,216.58.209.78,38074,443,TCP,0.134
10.0.2.15,216.58.209.78,38074,443,TCP,0.113
10.0.2.15,216.58.209.78,38074,443,TCP,0.771
10.0.2.15,216.58.209.78,38074,443,TCP,0.730
216.58.209.78,10.0.2.15,443,38074,TCP,1.032
216.58.209.78,10.0.2.15,443,38074,TCP,2.754
10.0.2.15,216.58.209.78,38074,443,TCP,0.115
216.58.209.78,10.0.2.15,443,38074,TCP,3.138
74.125.4.8,10.0.2.15,443,59754,UDP,77.078
172.217.168.182,10.0.2.15,443,60815,UDP,0.200
74.125.4.8,10.0.2.15,443,59754,UDP,0.368
10.0.2.15,216.58.209.78,38074,443,TCP,1.068
172.217.168.182,10.0.2.15,443,60815,UDP,0.842
10.0.2.15,74.125.4.8,59754,443,UDP,0.210
10.0.2.15,216.58.209.78,38074,443,TCP,0.512
172.217.168.182,10.0.2.15,443,60815,UDP,0.512
216.58.209.78,10.0.2.15,443,38074,TCP,0.461
172.217.168.182,10.0.2.15,443,60815,UDP,0.319
172.217.168.182,10.0.2.15,443,60815,UDP,0.174
172.217.168.182,10.0.2.15,443,60815,UDP,6.724
10.0.2.15,172.217.168.182,60815,443,UDP,0.504
142.250.200.97,10.0.2.15,443,48780,UDP,90.995
172.217.168.182,10.0.2.15,443,60815,UDP,3.215
172.217.168.182,10.0.2.15,443,60815,UDP,0.004
172.217.168.182,10.0.2.15,443,60815,UDP,0.373
172.217.168.182,10.0.2.15,443,60815,UDP,0.456
10.0.2.15,172.217.168.182,60815,443,UDP,0.258
172.217.168.182,10.0.2.15,443,60815,UDP,0.329
10.0.2.15,172.217.168.182,60815,443,UDP,0.081
10.0.2.15,172.217.168.182,60815,443,UDP,0.224
172.217.168.182,10.0.2.15,443,60815,UDP,0.749
10.0.2.15,172.217.168.182,60815,443,UDP,0.235
172.217.168.182,10.0.2.15,443,60815,UDP,0.314
172.217.168.182,10.0.2.15,443,60815,UDP,0.004
172.217.168.182,10.0.2.15,443,60815,UDP,0.450
172.217.168.182,10.0.2.15,443,60815,UDP,0.554
172.217.168.182,10.0.2.15,443,60815,UDP,0.776
172.217.168.182,10.0.2.15,443,60815,UDP,0.430
10.0.2.15,172.217.168.182,60815,443,UDP,0.166
172.217.168.182,10.0.2.15,443,60815,UDP,4.006
10.0.2.15,172.217.168.182,60815,443,UDP,0.034
172.217.168.182,10.0.2.15,443,60815,UDP,0.445
172.217.168.182,10.0.2.15,443,60815,UDP,0.359
172.217.168.182,10.0.2.15,443,60815,UDP,0.368
172.217.168.182,10.0.2.15,443,60815,UDP,0.318
172.217.168.182,10.0.2.15,443,60815,UDP,0.297
172.217.168.182,10.0.2.15,443,60815,UDP,0.312
10.0.2.15,172.217.168.182,60815,443,UDP,0.327
172.217.168.182,10.0.2.15,443,60815,UDP,1.035
172.217.168.182,10.0.2.15,443,60815,UDP,1.779
10.0.2.15,172.217.168.182,60815,443,UDP,0.288
